33,1596978704-3115,https://jobee.pk/accounting-taxation-jobs,"Computer Operator / Receptionist, Clarkson Hyde",https://jobee.pk/jobdetail/computer-operator-receptionist-297a4bd91517f238,Accounting/Taxation Jobs,Administration Jobs,1,"Karachi, Pakistan",Full Time Jobs,Female,21,30,Bachelors,B.Com / BSC / Equivalent,Entry Level,10000,20000,Monthly,Fresh,"Jul 25, 2020","Jul 29, 2020",Morning Shift,"[{'Skills':'Accounts Services'},{'Skills':'Administrative Skills'},{'Skills':'Computer Skills'}]",Clarkson Hyde,Karachi,Entry-Level
34,1596978499-3088,https://jobee.pk/importers-distributors-exporters-jobs,"Accounts Officer / Finance Officer, Noor International",https://jobee.pk/jobdetail/accounts-officer-finance-officer-0095fb4a727a8815,Importers/ Distributors/Exporters Jobs,"Accounts, Finance &  Financial Services Jobs",1,"Karachi, Pakistan",Full Time Jobs,Male,18,40,Bachelors,BBA / B.Com / Equivalent,Intermediate,25000,25000,Monthly,2 Years,"May 18, 2020","Jun 15, 2020",Morning Shift,"[{'Skills':'MS Office'},{'Skills':'Financial Services'},{'Skills':'Accounting'},{'Skills':'Accounts Payable'},{'Skills':'Accounts Receivable'}]",Noor International,Karachi,Intermediate
35,1596978292-3063,https://jobee.pk/agriculture-fertilizer-pesticide-jobs,"Customer Service Representative, HERBYZONE Pakistan",https://jobee.pk/jobdetail/customer-service-representative-de381e29eebf827a,Agriculture/Fertilizer/Pesticide Jobs,Client Services & Customer Support Jobs,1,"Lahore, Pakistan",Full Time Jobs,Female,18,40,Intermediate/A-Level,FSC / ICS / I.Com / Equivalent,Entry Level,10000,15000,Monthly,Fresh,"Jun 17, 2020","Sep 15, 2020",Morning Shift,"[{'Skills':'Customer Service'},{'Skills':'Social Media Marketing'}]",HERBYZONE Pakistan,Lahore,Entry-Level
36,1596978302-3064,https://jobee.pk/agriculture-fertilizer-pesticide-jobs,"Entomologist, EcoTech",https://jobee.pk/jobdetail/entomologist-a941e6027cec4d86,Agriculture/Fertilizer/Pesticide Jobs,Planning & Development Jobs,1,"Lahore, Pakistan",Full Time Jobs,No Preference,19,53,Bachelors,BSC / BS Entomology,Intermediate,20000,25000,Monthly,1 Year,"Jun 02, 2020","Aug 30, 2020",Morning Shift,"[{'Skills':'Entomologist'}]",EcoTech,Lahore,Intermediate
37,1596978810-3131,https://jobee.pk/food-beverages-jobs,"Salesman / Order Booker​​​​​​​, HOEST",https://jobee.pk/jobdetail/salesman-order-booker--94170302483fcd86,Food & Beverages Jobs,Sales & Business Development Jobs,10,"Multan, Pakistan",Full Time Jobs,Male,20,40,Bachelors,BA / B.Com / Equivalent,Entry Level,20000,30000,Monthly,Less than 1 Year,"Jul 27, 2020","Aug 31, 2020",Morning Shift,"[{'Skills':'Team player'},{'Skills':'Sales'}]",HOEST,Lahore,Intermediate
38,1596978727-3120,https://jobee.pk/accounting-taxation-jobs,"Audit Executive / Audit Officer, Tariq Mian Ramzan Arshad and Co ( TMRAC )",https://jobee.pk/jobdetail/audit-executive-audit-officer-9a8e16cdfcbc3dab,Accounting/Taxation Jobs,"Accounts, Finance &  Financial Services Jobs",2,"Sahiwal, Pakistan",Full Time Jobs,No Preference,18,30,Bachelors Certification,BBA / B.Com / Equivalent ACCA / ICMA (Inter) / CA (Inter),Intermediate,25000,30000,Monthly,1 Year,"Jul 17, 2020","Jul 31, 2020",Morning Shift,"[{'Skills':'MS Excel'},{'Skills':'MS Word'},{'Skills':'Financial planning'},{'Skills':'Analytical knowledge'},{'Skills':'Auditing'},{'Skills':'Document design'},{'Skills':'Oracle'}]",Tariq Mian Ramzan Arshad and Co ( TMRAC ),Lahore,Intermediate
39,1596978466-3083,https://jobee.pk/banking-financial-services-jobs,"Assistant Branch Manager, IGI Life Insurance",https://jobee.pk/jobdetail/assistant-branch-manager-928f8b66328e3d02,Banking/Financial Services Jobs,Sales & Business Development Jobs,10,"Karachi, Pakistan",Full Time Jobs,No Preference,18,61,Intermediate/A-Level,FSC / ICS / I.Com / Equivalent,Intermediate,10000,50000,Monthly,1 Year,"Jun 05, 2020","Sep 03, 2020",Morning Shift,"[{'Skills':'Administrative Skills'},{'Skills':'Sales'}]",IGI Life Insurance,Karachi,Intermediate
40,1596978528-3094,https://jobee.pk/importers-distributors-exporters-jobs,"SEO Expert / SEM Expert, The Beauty Curators",https://jobee.pk/jobdetail/seo-expert-sem-expert-cb3027ff853b56e8,Importers/ Distributors/Exporters Jobs,Search Engine Optimization (SEO) Jobs,1,"Rawalpindi, Pakistan",Full Time Jobs,No Preference,18,40,Bachelors,BCS / BS / BSC / Equivalent,Intermediate,30000,40000,Monthly,1 Year,"Jul 25, 2020","Aug 15, 2020",Morning Shift,"[{'Skills':'PHP'},{'Skills':'Search Engine Optimization (SEO)'},{'Skills':'Social Media Marketing'}]",The Beauty Curators,Rawalpindi,Intermediate
41,1596978263-3059,https://jobee.pk/agriculture-fertilizer-pesticide-jobs,"Junior SEO Expert, Q-Solutions",https://jobee.pk/jobdetail/junior-seo-expert-1dd89d0e295d1740,Agriculture/Fertilizer/Pesticide Jobs,Search Engine Optimization (SEO) Jobs,1,"Lahore, Pakistan",Full Time Jobs,No Preference,18,40,Bachelors,BBA / BS / BSC / Equivalent,Entry Level,5000,20000,Monthly,Fresh,"Jul 16, 2020","Oct 14, 2020",Morning Shift,"[{'Skills':'Search Engine Optimization (SEO)'}]",Q-Solutions,Lahore,Entry-Level
42,1596978282-3062,https://jobee.pk/agriculture-fertilizer-pesticide-jobs,"Front Desk Officer / Receptionist, Commander Agro",https://jobee.pk/jobdetail/front-desk-officer-receptionist-585dd97162d50a83,Agriculture/Fertilizer/Pesticide Jobs,"Secretarial, Clerical & Front Office Jobs",1,"Multan, Pakistan",Full Time Jobs,Female,18,40,Bachelors,BBA / B.Com / Equivalent,Entry Level,10000,15000,Monthly,Fresh,"Jun 23, 2020","Sep 21, 2020",Morning Shift,"[{'Skills':'Communication Skills'},{'Skills':'Administrative Skills'},{'Skills':'Multitasking'}]",Commander Agro,Multan,Entry-Level
